Age,primary_streaming_service,hours_per_day,while_working,Instrumentalist,composer,fav_genre,exploratory,foreign_languages,bpm,classical,country,edm,folk,gospel,hiphop,jazz,kpop,latin,lofi,metal,pop,r&b,rap,rock,video_game,anxiety,depression,insomnia,ocd,Music effects
16,Other streaming service,3,TRUE,TRUE,TRUE,Rock,TRUE,TRUE,84,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,10,6,8,10,Improve
18,Spotify,2,FALSE,FALSE,FALSE,Pop,TRUE,TRUE,169,Sometimes,Never,Rarely,Rarely,Never,Very frequently,Rarely,Never,Rarely,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Never,7,4,2,5,Improve
14,Spotify,12,TRUE,TRUE,TRUE,Rock,TRUE,TRUE,136,Sometimes,Never,Never,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,8,6,10,5,Improve
18,YouTube Music,6,TRUE,TRUE,TRUE,Pop,FALSE,TRUE,101,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Very frequently,Rarely,3,2,1,2,Improve
17,Spotify,2,TRUE,TRUE,FALSE,Pop,TRUE,TRUE,126,Never,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,6,6,4,5,Improve
17,Apple Music,1,TRUE,FALSE,FALSE,Pop,TRUE,FALSE,183,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Never,8,2,1,5,Improve
20,Apple Music,5,TRUE,TRUE,FALSE,Rock,TRUE,TRUE,,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,7,7,2,0,Improve
19,Spotify,2,TRUE,FALSE,FALSE,Classical,FALSE,FALSE,120,Very frequently,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Rarely,4,4,4,3,False effect
19,Spotify,6,TRUE,TRUE,FALSE,Metal,TRUE,TRUE,,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Never,Very frequently,Sometimes,9,8,2,3,Improve
17,Spotify,4,FALSE,FALSE,FALSE,Rock,TRUE,TRUE,142,Rarely,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Never,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,Never,5,6,6,1,Improve
16,Spotify,1,TRUE,FALSE,FALSE,Classical,FALSE,FALSE,75,Very frequently,Never,Rarely,Very frequently,Never,Never,Never,Sometimes,Never,Rarely,Very frequently,Rarely,Never,Never,Sometimes,Very frequently,0,0,0,0,False effect
18,Spotify,5,TRUE,TRUE,FALSE,Pop,TRUE,FALSE,120,Sometimes,Never,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Never,3,2,1,1,Improve
21,Spotify,4,TRUE,FALSE,FALSE,Pop,FALSE,TRUE,89,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Never,6,8,0,2,Improve
17,Other streaming service,3,TRUE,FALSE,FALSE,Pop,TRUE,FALSE,,Never,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,2,0,4,0,False effect
26,Other streaming service,0.5,FALSE,FALSE,FALSE,Rock,FALSE,TRUE,140,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Rarely,9,8,1,0,False effect
20,Spotify,4,TRUE,FALSE,FALSE,EDM,TRUE,FALSE,161,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,7,2,8,6,Improve
23,YouTube Music,2,TRUE,TRUE,TRUE,Video game music,TRUE,FALSE,80,Sometimes,Never,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Sometimes,Never,Sometimes,Very frequently,Rarely,4,2,3,4,Improve
18,Spotify,5,TRUE,TRUE,FALSE,Rock,TRUE,FALSE,130,Very frequently,Never,Sometimes,Never,Never,Very frequently,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,7,6,5,0,Improve
37,YouTube Music,0.25,FALSE,FALSE,FALSE,Video game music,TRUE,FALSE,147,Very frequently,Never,Very frequently,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Very frequently,3,2,10,0,False effect
17,Spotify,3,TRUE,FALSE,FALSE,Classical,TRUE,TRUE,120,Very frequently,Never,Rarely,Never,Never,Very frequently,Never,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,6,6,8,2,Improve
18,Spotify,4,TRUE,FALSE,FALSE,Metal,TRUE,TRUE,77,Rarely,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Rarely,Very frequently,1,0,8,2,False effect
17,I do Falset use a streaming service.,1,TRUE,TRUE,TRUE,Folk,FALSE,FALSE,118,Never,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Rarely,7,3,1,5,Improve
36,Spotify,1,FALSE,TRUE,TRUE,Classical,FALSE,FALSE,132,Very frequently,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,8,9,3,0,False effect
24,Spotify,3,TRUE,FALSE,FALSE,Rock,TRUE,TRUE,115,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Never,Very frequently,Sometimes,Never,Rarely,Very frequently,Rarely,9,6,4,3,Improve
18,Spotify,5,TRUE,FALSE,TRUE,Metal,TRUE,TRUE,157,Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,7,9,5,0,Improve
19,Spotify,3,TRUE,FALSE,FALSE,Pop,FALSE,TRUE,90,Sometimes,Never,Very frequently,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Rarely,7,4,2,4,False effect
17,Apple Music,2,TRUE,TRUE,FALSE,EDM,TRUE,FALSE,128,Never,Never,Rarely,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Rarely,Very frequently,Sometimes,0,0,0,0,Improve
16,Spotify,6,TRUE,FALSE,FALSE,K pop,TRUE,TRUE,169,Rarely,Never,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Rarely,Never,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Never,7,8,7,5,Improve
23,Apple Music,1,FALSE,FALSE,FALSE,Rap,FALSE,TRUE,140,Sometimes,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Very frequently,Never,Rarely,Very frequently,Sometimes,10,6,3,10,False effect
23,Spotify,12,TRUE,FALSE,FALSE,Pop,TRUE,TRUE,96,Very frequently,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Sometimes,Rarely,3,7,5,5,False effect
22,Spotify,4,TRUE,FALSE,TRUE,Rock,TRUE,TRUE,126,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Never,Sometimes,Rarely,8,7,4,3,Improve
